File,Jitter,Shimmer
2-8 pre-control snipped-1.wav, 0.37636, 0.00045326
2-8 pre-control snipped-2.wav, 0.34202, 4.5957e-05
2-8 pre-control snipped-3.wav, 0.31472, 0.0010912
2-8 pre-control snipped-4.wav, 0.3001, -0.00034473
2-8 pre-control snipped-5.wav, 0.29638, 0.004449
2-8 pre-control snipped-6.wav, 0.30095, 0.0017332
2-8 pre-control snipped-7.wav, 0.31689, -0.00058489
2-8 pre-control snipped-8.wav, 0.35008, 0.0036561
2-8 pre-control snipped-9.wav, 0.36709, -0.00052587
2-8 pre-control snipped-10.wav, 0.39302, 0.0028481
2-8 pre-control snipped-11.wav, 0.41255, 0.0042125
2-8 pre-control snipped-12.wav, 0.41265, -0.0001309
2-8 pre-control snipped-13.wav, 0.4086, -0.00016849
2-8 pre-control snipped-14.wav, 0.38201, 0.0024153
2-8 pre-control snipped-15.wav, 0.38975, -0.0023085
2-8 pre-control snipped-16.wav, 0.36979, -0.0001987
2-8 pre-control snipped-17.wav, 0.36621, 0.0023576
2-8 pre-control snipped-18.wav, 0.34255, -0.00089402
2-8 pre-control snipped-19.wav, 0.344, -0.00016002
2-8 pre-control snipped-20.wav, 0.34681, 0.0026039
2-8 pre-control snipped-21.wav, 0.33198, 0.00096732
2-8 pre-control snipped-22.wav, 0.29389, -0.0011191
2-8 pre-control snipped-23.wav, 0.25863, -0.00090973
2-8 pre-control snipped-24.wav, 0.25282, 0.001454
2-8 pre-control snipped-25.wav, 0.27381, -0.0007936
2-8 pre-control snipped-26.wav, 0.3097, -0.0035293
2-8 pre-control snipped-27.wav, 0.33227, -0.0017646
2-8 pre-control snipped-28.wav, 0.33664, 0.0014925
2-8 pre-control snipped-29.wav, 0.34073, 0.0014857
2-8 pre-control snipped-30.wav, 0.37702, 0.0017256
2-8 pre-control snipped-31.wav, 0.42532, -0.0008499
2-8 pre-control snipped-32.wav, 0.45123, -0.0007733
2-8 pre-control snipped-33.wav, 0.45005, 0.0025052
2-8 pre-control snipped-34.wav, 0.45394, -0.0032026
2-8 pre-control snipped-35.wav, 0.47235, -0.00029767
2-8 pre-control snipped-36.wav, 0.48119, 0.0020267
2-8 pre-control snipped-37.wav, 0.45903, -0.00079837
2-8 pre-control snipped-38.wav, 0.44502, 0.0006872
2-8 pre-control snipped-39.wav, 0.43082, 0.0011379
2-8 pre-control snipped-40.wav, 0.44228, -0.0010098
2-8 pre-control snipped-41.wav, 0.42662, -0.0002458
2-8 pre-control snipped-42.wav, 0.43743, -0.0001155
2-8 pre-control snipped-43.wav, 0.45071, 0.00027323
2-8 pre-control snipped-44.wav, 0.47027, -0.00037054
2-8 pre-control snipped-45.wav, 0.47796, 0.00094482
2-8 pre-control snipped-46.wav, 0.44915, -0.00076475
2-8 pre-control snipped-47.wav, 0.44315, 0.0014497
2-8 pre-control snipped-48.wav, 0.42165, 0.00030723
2-8 pre-control snipped-49.wav, 0.43805, 4.1694e-05
2-8 pre-control snipped-50.wav, 0.42107, -0.0047995
2-8 pre-control snipped-51.wav, 0.41628, 0.00034995
2-8 pre-control snipped-52.wav, 0.41714, -0.00014434
2-8 pre-control snipped-53.wav, 0.40323, -0.00085501
2-8 pre-control snipped-54.wav, 0.41859, -0.0046743
2-8 pre-control snipped-55.wav, 0.423, 0.0015266
2-8 pre-control snipped-56.wav, 0.44707, -0.0014344
2-8 pre-control snipped-57.wav, 0.43641, 0.0006038
2-8 pre-control snipped-58.wav, 0.41201, 0.0011384
2-8 pre-control snipped-59.wav, 0.39496, -0.0019516
2-8 pre-control snipped-60.wav, 0.3875, 0.0022872
2-8 pre-control snipped-61.wav, 0.38576, 0.00088059
2-8 pre-control snipped-62.wav, 0.38529, -4.4767e-05
2-8 pre-control snipped-63.wav, 0.38239, 0.0012849
2-8 pre-control snipped-64.wav, 0.37548, -0.0015163
2-8 pre-control snipped-65.wav, 0.35238, 0.0037554
2-8 pre-control snipped-66.wav, 0.34436, -0.0010028
2-8 pre-control snipped-67.wav, 0.34437, -0.00095891
2-8 pre-control snipped-68.wav, 0.34833, -0.00025539
2-8 pre-control snipped-69.wav, 0.35272, -0.0031363
2-8 pre-control snipped-70.wav, 0.35414, 0.00039313
2-8 pre-control snipped-71.wav, 0.36696, 0.00081263
2-8 pre-control snipped-72.wav, 0.3606, -0.0044281
2-8 pre-control snipped-73.wav, 0.36647, -8.047e-05
2-8 pre-control snipped-74.wav, 0.36304, 0.0023493
2-8 pre-control snipped-75.wav, 0.36149, -0.00052132
2-8 pre-control snipped-76.wav, 0.35028, -0.00024252
2-8 pre-control snipped-77.wav, 0.34857, 0.0033875
2-8 pre-control snipped-78.wav, 0.3491, 0.0003243
2-8 pre-control snipped-79.wav, 0.3539, -0.00017937
2-8 pre-control snipped-80.wav, 0.36838, 0.0018483
2-8 pre-control snipped-81.wav, 0.37585, -0.0011609
2-8 pre-control snipped-82.wav, 0.36866, -0.0036823
2-8 pre-control snipped-83.wav, 0.35085, 0.0022926
2-8 pre-control snipped-84.wav, 0.34552, -0.002183
2-8 pre-control snipped-85.wav, 0.34285, -0.0016789
