File,NEDR
2-8 2nd pre-control snipped-1.wav, 0.39108
2-8 2nd pre-control snipped-2.wav, 0.14556
2-8 2nd pre-control snipped-3.wav, 0.16944
2-8 2nd pre-control snipped-4.wav, 0.15677
2-8 2nd pre-control snipped-5.wav, 0.1451
2-8 2nd pre-control snipped-6.wav, 0.13624
2-8 2nd pre-control snipped-7.wav, 0.15028
2-8 2nd pre-control snipped-8.wav, 0.1486
2-8 2nd pre-control snipped-9.wav, 0.13469
2-8 2nd pre-control snipped-10.wav, 0.1738
2-8 2nd pre-control snipped-11.wav, 0.15276
2-8 2nd pre-control snipped-12.wav, 0.16041
2-8 2nd pre-control snipped-13.wav, 0.23474
2-8 2nd pre-control snipped-14.wav, 0.16227
2-8 2nd pre-control snipped-15.wav, 0.16913
2-8 2nd pre-control snipped-16.wav, 0.084893
2-8 2nd pre-control snipped-17.wav, 0.18239
2-8 2nd pre-control snipped-18.wav, 0.17329
2-8 2nd pre-control snipped-19.wav, 0.21616
2-8 2nd pre-control snipped-20.wav, 0.1531
2-8 2nd pre-control snipped-21.wav, 0.14745
2-8 2nd pre-control snipped-22.wav, 0.12126
2-8 2nd pre-control snipped-23.wav, 0.14653
2-8 2nd pre-control snipped-24.wav, 0.098163
2-8 2nd pre-control snipped-25.wav, 0.15731
2-8 2nd pre-control snipped-26.wav, 0.17198
2-8 2nd pre-control snipped-27.wav, 0.14151
2-8 2nd pre-control snipped-28.wav, 0.12706
2-8 2nd pre-control snipped-29.wav, 0.14533
2-8 2nd pre-control snipped-30.wav, 0.13479
2-8 2nd pre-control snipped-31.wav, 0.12886
2-8 2nd pre-control snipped-32.wav, 0.1518
2-8 2nd pre-control snipped-33.wav, 0.12231
2-8 2nd pre-control snipped-34.wav, 0.12302
2-8 2nd pre-control snipped-35.wav, 0.057262
2-8 2nd pre-control snipped-36.wav, 0.11354
2-8 2nd pre-control snipped-37.wav, 0.13674
2-8 2nd pre-control snipped-38.wav, 0.067363
2-8 2nd pre-control snipped-39.wav, 0.16215
2-8 2nd pre-control snipped-40.wav, 0.12358
2-8 2nd pre-control snipped-41.wav, 0.065101
2-8 2nd pre-control snipped-42.wav, 0.14304
2-8 2nd pre-control snipped-43.wav, 0.14678
2-8 2nd pre-control snipped-44.wav, 0.14498
2-8 2nd pre-control snipped-45.wav, 0.1407
2-8 2nd pre-control snipped-46.wav, 0.14253
2-8 2nd pre-control snipped-47.wav, 0.13277
2-8 2nd pre-control snipped-48.wav, 0.15946
2-8 2nd pre-control snipped-49.wav, 0.11541
2-8 2nd pre-control snipped-50.wav, 0.14549
2-8 2nd pre-control snipped-51.wav, 0.14406
2-8 2nd pre-control snipped-52.wav, 0.12432
2-8 2nd pre-control snipped-53.wav, 0.1759
2-8 2nd pre-control snipped-54.wav, 0.12589
2-8 2nd pre-control snipped-55.wav, 0.095767
2-8 2nd pre-control snipped-56.wav, 0.12132
2-8 2nd pre-control snipped-57.wav, 0.13361
