File,SCR
2-8 2nd pre-control snipped-1.wav, 0.13405
2-8 2nd pre-control snipped-2.wav, 0.6651
2-8 2nd pre-control snipped-3.wav, 0.76863
2-8 2nd pre-control snipped-4.wav, 0.68878
2-8 2nd pre-control snipped-5.wav, 0.68873
2-8 2nd pre-control snipped-6.wav, 0.67903
2-8 2nd pre-control snipped-7.wav, 0.70124
2-8 2nd pre-control snipped-8.wav, 0.67204
2-8 2nd pre-control snipped-9.wav, 0.75019
2-8 2nd pre-control snipped-10.wav, 0.77276
2-8 2nd pre-control snipped-11.wav, 0.7993
2-8 2nd pre-control snipped-12.wav, 0.76323
2-8 2nd pre-control snipped-13.wav, 0.71281
2-8 2nd pre-control snipped-14.wav, 0.72709
2-8 2nd pre-control snipped-15.wav, 0.7617
2-8 2nd pre-control snipped-16.wav, 0.69807
2-8 2nd pre-control snipped-17.wav, 0.71301
2-8 2nd pre-control snipped-18.wav, 0.62661
2-8 2nd pre-control snipped-19.wav, 0.66209
2-8 2nd pre-control snipped-20.wav, 0.71433
2-8 2nd pre-control snipped-21.wav, 0.77865
2-8 2nd pre-control snipped-22.wav, 0.86238
2-8 2nd pre-control snipped-23.wav, 0.79889
2-8 2nd pre-control snipped-24.wav, 0.82015
2-8 2nd pre-control snipped-25.wav, 0.79918
2-8 2nd pre-control snipped-26.wav, 0.84376
2-8 2nd pre-control snipped-27.wav, 0.98856
2-8 2nd pre-control snipped-28.wav, 0.87228
2-8 2nd pre-control snipped-29.wav, 0.96917
2-8 2nd pre-control snipped-30.wav, 0.93693
2-8 2nd pre-control snipped-31.wav, 0.88018
2-8 2nd pre-control snipped-32.wav, 0.96194
2-8 2nd pre-control snipped-33.wav, 1.0553
2-8 2nd pre-control snipped-34.wav, 0.93029
2-8 2nd pre-control snipped-35.wav, 0.94958
2-8 2nd pre-control snipped-36.wav, 0.85968
2-8 2nd pre-control snipped-37.wav, 0.9918
2-8 2nd pre-control snipped-38.wav, 0.91876
2-8 2nd pre-control snipped-39.wav, 0.92076
2-8 2nd pre-control snipped-40.wav, 0.96057
2-8 2nd pre-control snipped-41.wav, 0.88377
2-8 2nd pre-control snipped-42.wav, 0.80517
2-8 2nd pre-control snipped-43.wav, 0.84778
2-8 2nd pre-control snipped-44.wav, 0.86249
2-8 2nd pre-control snipped-45.wav, 0.90476
2-8 2nd pre-control snipped-46.wav, 0.87336
2-8 2nd pre-control snipped-47.wav, 0.76737
2-8 2nd pre-control snipped-48.wav, 0.76583
2-8 2nd pre-control snipped-49.wav, 0.84296
2-8 2nd pre-control snipped-50.wav, 0.85453
2-8 2nd pre-control snipped-51.wav, 0.94517
2-8 2nd pre-control snipped-52.wav, 0.95361
2-8 2nd pre-control snipped-53.wav, 0.83855
2-8 2nd pre-control snipped-54.wav, 0.82498
2-8 2nd pre-control snipped-55.wav, 0.92388
2-8 2nd pre-control snipped-56.wav, 0.85746
2-8 2nd pre-control snipped-57.wav, 0.92481
